AutoID,Naam,Omschrijving,Model status,Model actueel?,ObjectID,Objectnaam,Object actueel?
MDL-3532,OWRB-05593-ROC-BMO-W66-000001,Gebouw Gommaire,Nieuw,Ja,Obj-05593,Gebouw Gommaire,Ja
MDL-3531,3D-model,,Nieuw,Ja,,,
MDL-3530,3D-model,,Vervallen,Ja,,,
MDL-3480,OWRB-01496-ROC-XRC-W59-000001,R1N-WEG-TIJ SPW K&L Deel 2 Reconstructie spoor tram Xref LP,Nieuw,Ja,Obj-01496,Tijdelijke aanpassing Schijnpoort,Ja
MDL-3436,3D-model,,Nieuw,Ja,,,
MDL-3421,OWRB-05825-ROC-XRF-W32-000003,R1O-WEG-OT OT (light) R1O,Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-3406,OWRB-05825-ROC-XRL-W59-000001,R1O-WEG-TIJ-TO Noordersingel Xref Fase11,Nieuw,Ja,,,
MDL-3405,OWRB-05825-ROC-XRK-W59-000001,R1O-WEG-TIJ-TO Noordersingel Xref Fase10,Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-3404,OWRB-05825-ROC-XRK-W59-000001,R1O-WEG-TIJ-TO Noordersingel Xref vervallen,Vervallen,Ja,,,
MDL-3403,OWRB-05825-ROC-XRJ-W59-000001,R1O-WEG-TIJ-TO Noordersingel Xref Fase9,Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-3401,OWRB-06806-LAN-DAL-W03-000001,test modelregistratie,Nieuw,Ja,,,
MDL-3399,OWRB-05825-ROC-XRI-W59-000001,R1O-WEG-TIJ-TO Noordersingel Xref Fase8,Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-3397,OWRB-05825-ROC-XRH-W59-000001,R1O-WEG-TIJ-TO Noordersingel Xref Fase7,Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-3385,OWRB-03760-LAN-XRA-W66-000002,R1O-HW-R1_Overkapping Hof ter Loo VO,Nieuw,Ja,,,
MDL-3381,OWRB-03760-ROC-XRF-W59-000001,R1O-HW-OT-Kunstwerken R1O Xref Geometrie,Nieuw,Ja,Obj-03760,Overkapping Hof ter Loo,Ja
MDL-3380,OWRB-02711-ROC-XRF-W27-000001,R1O-NT-OT Kabeltracés kabelverleg dive-under,Nieuw,Ja,Obj-02711,K&L tracés R1-Oost,Ja
MDL-3378,OWRB-05883-ROC-XRA-W66-000001,R1O-HW-BT-Pompstation Lobroekdok,Nieuw,Ja,Obj-05883,Pompstation Lobroekdok,Ja
MDL-3377,OWRB-05883-ROC-DMO-W66-000001,R1O-HW-BT-Pompstation Lobroekdok,Nieuw,Ja,Obj-05883,Pompstation Lobroekdok,Ja
MDL-3376,OWRB-05883-ROC-BMO-W66-000001,R1O-HW-BT-Pompstation Lobroekdok,Nieuw,Ja,Obj-05883,Pompstation Lobroekdok,Ja
MDL-3372,OWRB-01496-ROC-XRB-W59-000002,R1N-WEG-TIJ SPW K&L Deel 2 Reconstructie bovenleiding tram Xref Geometrie,Nieuw,Ja,Obj-01496,Tijdelijke aanpassing Schijnpoort,Ja
MDL-3371,OWRB-01496-ROC-XRA-W59-000002,R1N-WEG-TIJ SPW K&L Deel 2 Reconstructie bovenleiding tram Xref Annotatie,Nieuw,Ja,Obj-01496,Tijdelijke aanpassing Schijnpoort,Ja
MDL-3370,OWRB-01496-ROC-DMO-W59-000002,R1N-WEG-TIJ SPW K&L Deel 2 Reconstructie bovenleiding tram,Nieuw,Ja,,,
MDL-3369,OWRB-01496-ROC-BMO-W59-000002,R1N-WEG-TIJ SPW K&L Deel 2 Reconstructie bovenleiding tram,Nieuw,Ja,Obj-01496,Tijdelijke aanpassing Schijnpoort,Ja
MDL-3356,OWRB-01496-ROC-XRB-W59-000001,R1N-WEG-TIJ SPW K&L Deel 2 Reconstructie spoor tram Xref Geometrie,Nieuw,Ja,Obj-01496,Tijdelijke aanpassing Schijnpoort,Ja
MDL-3355,OWRB-01496-ROC-XRA-W59-000001,R1N-WEG-TIJ SPW K&L Deel 2 Reconstructie spoor tram Xref Annotatie,Nieuw,Ja,Obj-01496,Tijdelijke aanpassing Schijnpoort,Ja
MDL-3354,OWRB-01496-ROC-QMO-W59-000001,R1N-WEG-TIJ SPW K&L Deel 2 Reconstructie trambaan,Nieuw,Ja,,,
MDL-3353,OWRB-01496-ROC-DMO-W59-000001,R1N-WEG-TIJ SPW K&L Deel 2 Reconstructie trambaan,Nieuw,Ja,,,
MDL-3352,OWRB-01496-ROC-BMO-W59-000001,R1N-WEG-TIJ SPW K&L Deel 2 Reconstructie spoor tram,Nieuw,Ja,Obj-01496,Tijdelijke aanpassing Schijnpoort,Ja
MDL-3331,OWRB-06806-LAN-ALM-W03-000001,test modelregistratie,Nieuw,Ja,,,
MDL-3297,OWRB-06221-ROC-DMO-W59-000001,R1O-WEG-TIJ Aansluiting Dive-under op Bypass Oost,Nieuw,Ja,Obj-06221,Dive under - afrit Schijnpoort,Ja
MDL-3296,OWRB-06221-ROC-BMO-W59-000001,R1O-WEG-TIJ Aansluiting Dive-under op Bypass Oost,Nieuw,Ja,Obj-06221,Dive under - afrit Schijnpoort,Ja
MDL-3295,OWRB-05825-ROC-XRG-W59-000001,R1O-WEG-TIJ-TO Noordersingel Xref Fase6,Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-3294,OWRB-06221-ROC-XRF-W59-000002,R1O-WEG-TIJ Aansluiting Dive-under op Bypass Oost Xref Annotatie,Nieuw,Ja,Obj-06221,Dive under - afrit Schijnpoort,Ja
MDL-3293,OWRB-06221-ROC-XRF-W59-000001,R1O-WEG-TIJ Aansluiting Dive-under op Bypass Oost Xref Geometrie,Nieuw,Ja,Obj-06221,Dive under - afrit Schijnpoort,Ja
MDL-3263,OWRB-01723-ROC-QMO-W66-000001,R1O-HW-OT-Aansluiting IJzerlaankanaal Lobroekdok,Nieuw,Ja,Obj-01723,Aansluiting IJzerlaankanaal op Lobroekdok,Ja
MDL-3205,OWRB-05825-ROC-XRF-W59-000002,R1O-WEG-TIJ-TO Noordersingel Xref vervallen,Vervallen,Ja,Obj-05825,R1 Oost,Ja
MDL-3204,OWRB-05825-ROC-XRF-W59-000001,R1O-WEG-TIJ-TO Noordersingel Xref Fase5,Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-3175,OWRB-05825-ROC-XRF-W16-000001,R1O-LS-BT Bestaande toestand bovengrond,Nieuw,Ja,Obj-05825,R1 Oost,Ja
MDL-3148,OWRB-07070-ROC-DMO-W32-000001,R1O-TI-BT - Opmeting kokers en deksels noorden Turnhoutsebaan,Nieuw,Ja,,,
MDL-3147,OWRB-07070-ROC-BMO-W32-000001,R1O-TI-BT - Opmeting kokers en deksels noorden Turnhoutsebaan,Nieuw,Ja,,,
MDL-3146,OWRB-01600-ROC-DMO-W66-000001,R1O-HW-BT - Pompstation Groot Schijn,Nieuw,Ja,,,
